Gene,PubMedID
cat,21642878
cat,23348506
cat,21963849
cat,21788308
cat,19799645
cat,24289491
cat,21466784
cat,20357817
cat,19118061
cat,14576937
cat,11822878
cat,26599548
cat,22665054
cat,11129335
cat,22583695
cat,16982779
cat,26016895
cat,15120668
cat,22736149
cat,22865454
cat,12543799
cat,21300445
cat,8864922
cat,24086281
cat,12036934
cat,15760339
cat,8631588
cat,20862285
cat,23625514
cat,23528861
cat,17171691
cat,22551973
cat,24736457
cat,25572314
cat,16801015
cat,16963426
tr ##pm ##1,21435193
tr ##pm ##1,21072171
tr ##pm ##1,26599548
pa ##x ##3,23020925
pa ##x ##3,20421967
pa ##x ##3,20067553
tn ##c,23638386
d ##mb ##t ##1,19207948
ta ##cc ##1,22817889
nt ##s,19338054
nt ##s,12473109
nt ##s,23454771
adam ##17,25124714
hs ##f ##1,25435429
pt ##n,15606670
tb ##x ##3,18444963
at ##f ##2,22971344
po ##u ##3 ##f ##2,20337985
po ##u ##3 ##f ##2,21435193
g ##li ##2,22496449
g ##li ##2,21801332
pl ##at,21722328
mm ##p ##8,19330028
mm ##p ##8,21642878
ed ##nr ##b,21507037
ed ##nr ##b,22865454
mc ##m ##3,20177751
mc ##m ##3,22805320
nano ##g,22487681
vc ##l,25435429
b ##mp ##7,18386818
sf ##n,20177751
ang,26769193
ang,15986140
ang,10072444
ang,22935333
ang,25588203
ang,26498684
ang,26396549
ang,21722328
ang,14714570
ang,21435193
ang,24359286
ang,21072171
ang,19671763
ang,9806478
ang,15705881
ang,11813878
ang,25501033
ang,22076652
ang,20848731
ang,9389568
ang,22447182
ang,23977234
ang,22454080
ang,19627587
ang,17314512
ang,22927992
ang,25048347
ang,26405583
ang,23221472
ang,17891747
ang,18385040
ang,17351674
ang,21963849
ang,25001534
ang,20060810
ang,24709888
ang,26842708
ang,26599548
ang,22583695
ang,15120668
ang,21278793
ang,22328516
ang,24086281
ang,15760339
ang,15958521
ang,23528861
ang,18086302
ang,16801015
ang,25868368
t ##f,12742347
t ##f,25207815
t ##f,25444235
t ##f,20337985
t ##f,21435193
t ##f,22080950
t ##f,21072171
t ##f,25501033
t ##f,19805117
t ##f,17182868
t ##f,20848731
t ##f,27181209
t ##f,22496449
t ##f,22971344
t ##f,23477830
t ##f,23787126
t ##f,23377970
t ##f,24981740
t ##f,21356389
t ##f,20067553
t ##f,22647378
t ##f,16964280
t ##f,17975146
t ##f,26599548
t ##f,25818589
t ##f,21801332
t ##k ##1,22817889
t ##k ##1,24086281
ir ##f ##4,25207815
ir ##f ##4,20602913
cc ##r ##2,23454771
nr ##p ##2,24359286
ph ##f ##19,22487681
br ##d ##4,23950209
f ##2,20337985
f ##2,21435193
f ##2,22971344
f ##2,22555176
f ##2,17450523
no ##g,17472570
no ##g,25444235
no ##g,22487681
no ##g,23416158
no ##g,21722328
no ##g,17197349
no ##g,15623617
no ##g,23673539
no ##g,11931386
no ##g,23028833
no ##g,26707830
no ##g,21119596
no ##g,12473109
no ##g,21356389
no ##g,18515281
no ##g,21963849
no ##g,19799645
no ##g,26016895
no ##g,22817889
